Timestamp,City,Weather Type,Latitude,Longitude,Temperature (°C),Feels Like (°C),Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Cloudiness (%),Weather Condition,Rain (Last 1h) (mm),Snow (Last 1h) (mm),Sunrise,Sunset,Rain (3h) (mm),Snow (3h) (mm)
2025-02-06 06:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,27.95,26.73,27.95,27.95,21,1012,4.52,113,69,broken clouds,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-06 09:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,30.1,28.27,30.1,30.1,18,1009,4.83,122,44,scattered clouds,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-06 12:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,28.34,27.03,28.34,28.34,22,1009,4.3,116,32,scattered clouds,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-06 15:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,22.61,21.89,22.61,22.61,37,1012,4.95,113,90,overcast clouds,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-06 18:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,19.97,19.33,19.97,19.97,50,1013,4.1,105,95,overcast clouds,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-06 21:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,17.81,17.16,17.81,17.81,58,1012,3.43,100,23,few clouds,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-07 00:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,16.55,15.78,16.55,16.55,58,1012,2.86,108,14,few clouds,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-07 03:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,21.2,20.37,21.2,21.2,38,1014,3.0,116,20,few clouds,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-07 06:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,28.89,27.28,28.89,28.89,14,1013,4.94,94,16,few clouds,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-07 09:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,30.99,28.92,30.99,30.99,13,1010,6.22,95,12,few clouds,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-07 12:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,28.48,27.06,28.48,28.48,19,1010,5.57,102,11,few clouds,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-07 15:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,22.44,21.63,22.44,22.44,34,1013,4.54,111,7,clear sky,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-07 18:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,20.22,19.45,20.22,20.22,44,1014,3.42,105,5,clear sky,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-07 21:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,18.7,17.93,18.7,18.7,50,1012,2.65,96,7,clear sky,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-08 00:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,17.54,16.76,17.54,17.54,54,1012,2.63,111,6,clear sky,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-08 03:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,21.82,21.02,21.82,21.82,37,1014,2.86,114,5,clear sky,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-08 06:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,28.88,27.37,28.88,28.88,20,1013,4.74,109,6,clear sky,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
2025-02-08 09:00:00.000000,Bengaluru,Forecast,12.9762,77.6033,31.11,29.1,31.11,31.11,18,1009,5.69,102,5,clear sky,,,2025-02-03 01:15:29,2025-02-03 12:51:15,0.0,0.0
